provider_id,provider_name,state,specialty,intake_source,assigned_analyst,received_date,completed_date,status,turnaround_days,documents_missing_flag,verification_issue_flag,committee_required_flag,sla_target_days
P0001,Provider 1,CA,Neurology,Portal Upload,R. Kumar,2025-02-17,,Committee Review,5,0,0,1,20
P0002,Provider 2,PA,Cardiology,Referral,A. Patel,2025-02-27,2025-03-26,Completed,27,0,0,0,20
P0003,Provider 3,PA,Pediatrics,CAQH,M. Singh,2025-02-09,,In Verification,9,0,1,0,20
P0004,Provider 4,AZ,Family Medicine,CAQH,A. Patel,2025-02-25,,In Verification,7,0,1,0,20
P0005,Provider 5,TX,Pediatrics,Referral,S. Reddy,2025-03-03,,Committee Review,11,0,0,1,20
P0006,Provider 6,FL,Family Medicine,Manual Intake,A. Patel,2025-03-29,,Pending Documents,21,1,0,0,20
P0007,Provider 7,PA,Pediatrics,Portal Upload,K. Sharma,2025-01-17,,Pending Documents,30,1,0,0,20
P0008,Provider 8,TX,Pediatrics,Portal Upload,A. Patel,2025-02-05,,In Verification,25,0,1,0,20
P0009,Provider 9,CA,Neurology,Portal Upload,S. Reddy,2025-01-22,,Pending Documents,5,1,0,0,20
P0010,Provider 10,FL,Neurology,Referral,S. Reddy,2025-01-20,,Pending Documents,35,1,0,0,20
P0011,Provider 11,NY,Cardiology,Portal Upload,K. Sharma,2025-03-15,2025-04-17,Completed,33,0,0,0,20
P0012,Provider 12,NY,Cardiology,Portal Upload,A. Patel,2025-01-19,,In Verification,13,0,1,0,20
P0013,Provider 13,NY,Pediatrics,Portal Upload,R. Kumar,2025-01-13,,Pending Documents,11,1,0,0,20
P0014,Provider 14,NY,Family Medicine,CAQH,M. Singh,2025-01-21,,On Hold,37,1,0,0,20
P0015,Provider 15,AZ,Orthopedics,Referral,M. Singh,2025-03-14,,On Hold,25,1,0,0,20
P0016,Provider 16,CA,Family Medicine,Referral,R. Kumar,2025-01-30,,Pending Documents,31,1,0,0,20
P0017,Provider 17,NJ,Pediatrics,CAQH,S. Reddy,2025-01-08,2025-01-15,Completed,7,0,0,0,20
P0018,Provider 18,NY,Cardiology,CAQH,A. Patel,2025-02-11,,Pending Documents,24,1,0,0,20
P0019,Provider 19,FL,Cardiology,Manual Intake,S. Reddy,2025-02-04,,Pending Documents,31,1,0,0,20
P0020,Provider 20,CA,Orthopedics,Manual Intake,R. Kumar,2025-02-24,2025-03-26,Completed,30,0,0,0,20
P0021,Provider 21,NJ,Orthopedics,Manual Intake,M. Singh,2025-03-18,,Pending Documents,35,1,0,0,20
P0022,Provider 22,FL,Pediatrics,Manual Intake,R. Kumar,2025-02-26,,Committee Review,14,0,0,1,20
P0023,Provider 23,NY,Neurology,Portal Upload,K. Sharma,2025-03-13,,On Hold,40,1,0,0,20
P0024,Provider 24,CA,Orthopedics,CAQH,S. Reddy,2025-03-05,,On Hold,37,1,0,0,20
P0025,Provider 25,TX,Orthopedics,Manual Intake,K. Sharma,2025-02-15,,Pending Documents,16,1,0,0,20
P0026,Provider 26,IL,Cardiology,Manual Intake,S. Reddy,2025-02-04,2025-03-16,Completed,40,0,0,0,20
P0027,Provider 27,NY,Family Medicine,CAQH,S. Reddy,2025-01-14,2025-02-16,Completed,33,0,0,0,20
